year,category,nominee,workers,winner
1959,Song of the Year,Nel Blu Dipinto di Blu (Volare).,Domenico Modugno,True
1961,Song of the Year,Theme From Exodus.,Ernest Gold (artist/songwriter),True
1962,Best Instrumental Theme Or Instrumental Version of Song,African Waltz.,"Cannonball Adderley (artist), Galt MacDermot (composer)",True
1962,Song of the Year,Moon River.,Breakfast at Tiffany's,True
1963,Song of the Year,What Kind Of Fool Am I.,"Leslie Bricusse (songwriter), Sammy Davis Jr. (artist), Anthony Newley (artist/songwriter)",True
1964,Song of the Year,Days Of Wine And Roses.,"Henry Mancini (artist/songwriter), Johnny Mercer (songwriter)",True
1965,Best Country & Western Song,Dang Me,Roger Miller (songwriter),True
1965,Song of the Year,"Hello, Dolly!","Louis Armstrong (artist), Jerry Herman (songwriter)",True
1966,Best Country & Western Song,King Of The Road,Roger Miller (songwriter),True
1966,Song of the Year,The Shadow Of Your Smile (Love Theme From The Sandpiper),"Tony Bennett (artist), Paul Francis Webster (songwriter), Johnny Mandel (songwriter)",True
1967,Best Country & Western Song,Almost Persuaded,"Billy Sherrill (songwriter), Glenn Sutton (songwriter), David Houston (artist)",True
1967,Song of the Year,Michelle,"The Beatles (artist), Paul McCartney (songwriter), John Lennon (songwriter)",True
1968,Best Country & Western Song,Gentle On My Mind,John Hartford (songwriter),True
1968,Song of the Year,"Up, Up And Away","Jimmy Webb (songwriter), The 5th Dimension (artist)",True
1969,Best Country Song,Little Green Apples,"O.C. Smith (artist), Roger Miller (artist), Bobby Russell (songwriter)",True
1969,Best Rhythm & Blues Song,(Sittin' On) The Dock Of The Bay,"Otis Redding (songwriter), Steve Cropper (songwriter)",True
1969,Song of the Year,Little Green Apples,"O.C. Smith (artist), Roger Miller (artist), Bobby Russell (songwriter)",True
1970,Best Contemporary Song,Games People Play,Joe South (artist/songwriter),True
1970,Best Country Song,A Boy Named Sue,"Shel Silverstein (songwriter), Johnny Cash (artist)",True
1970,Best R&B Song,Color Him Father,"Richard Spencer (songwriter), The Winstons (artist)",True
1970,Song of the Year,Games People Play,Joe South (artist/songwriter),True
1971,Best Contemporary Song,Bridge Over Troubled Water,"Paul Simon (songwriter), Simon & Garfunkel (artist)",True
1971,Best Country Song,"My Woman, My Woman, My Wife",Marty Robbins (artist/songwriter),True
1971,Best R&B Song,Patches,"Ronald Dunbar (songwriter), General Johnson (songwriter), Clarence Carter (artist)",True
1971,Song of the Year,Bridge Over Troubled Water,"Paul Simon (songwriter), Simon & Garfunkel (artist)",True
1972,Best Country Song,Help Me Make It Through The Night,"Kris Kristofferson (songwriter), Sammi Smith (artist)",True
1972,Best R&B Song,Ain't No Sunshine,Bill Withers (artist/songwriter),True
1972,Song of the Year,You've Got A Friend,Carole King (artist/songwriter),True
1973,Best Country Song,Kiss An Angel Good Mornin',"Ben Peters (songwriter), Charley Pride (artist)",True
1973,Best R&B Song,Papa Was A Rollin' Stone,"Barrett Strong (songwriter), Norman Whitfield (songwriter), The Temptations (artist)",True
1973,Song of the Year,The First Time Ever I Saw Your Face,"Ewan MacColl (songwriter), Roberta Flack (artist)",True
1974,Best Country Song,Behind Closed Doors,"Kenny O'Dell (songwriter), Charlie Rich (artist)",True
1974,Best R&B Song,Superstition,Stevie Wonder (artist/songwriter),True
1974,Song of the Year,Killing Me Softly With His Song,"Charles Fox (songwriter), Norman Gimbel (songwriter), Roberta Flack (artist)",True
1975,Best Country Song,A Very Special Love Song,"Billy Sherrill (songwriter), Norris Wilson (songwriter), Charlie Rich (artist)",True
1975,Best Rhythm & Blues Song,Living For The City,Stevie Wonder (songwriter/artist),True
1975,Song of the Year,The Way We Were,"Barbra Streisand (artist), Alan Bergman (songwriter), Marilyn Bergman (songwriter), Marvin Hamlisch (songwriter)",True
1976,Best Country Song,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,"Larry Butler (songwriter), Chips Moman (songwriter), B.J. Thomas (artist)",True
1976,Best Rhythm & Blues Song,Where Is The Love,"Richard Finch (songwriter), Harry Wayne Casey (songwriter), Willie Clarke (songwriter), Betty Wright (songwriter/artist)",True
1976,Song of the Year,Send In The Clowns,"Judy Collins (artist), Stephen Sondheim (songwriter)",True
1977,Best Country Song,Broken Lady,Larry Gatlin (songwriter),True
1977,Best Rhythm & Blues Song,Lowdown,"Boz Scaggs (songwriter), David Paich (songwriter/artist)",True
1977,Song of the Year,I Write The Songs,"Barry Manilow (artist), Bruce Johnston (songwriter)",True
1978,Best Country Song,Don't It Make My Brown Eyes,"Richard Leigh (songwriter), Crystal Gayle (artist)",True
1978,Best R&B Song,Last Dance (1978),,True
1978,Best Rhythm & Blues Song,You Make Me Feel Like Dancing,"Leo Sayer (songwriter), Vini Poncia (songwriter)",True
1978,Song of the Year,Love Theme From A Star Is Born (Evergreen),"Barbra Streisand (songwriter/artist), Paul Williams (songwriter)",True
1979,Best Country Song,The Gambler,"Don Schlitz (songwriter), Kenny Rogers (artist)",True
1979,Best Rhythm & Blues Song,Last Dance,"Donna Summer (artist), Paul Jabara (songwriter)",True
1979,Song of the Year,Just The Way You Are,Billy Joel (songwriter),True
1980,Best Country Song,You Decorated My Life.,"Kenny Rogers (artist), Debbie Hupp (songwriter), Bob Morrison (songwriter)",True
1980,Best Rhythm & Blues Song,After The Love Has Gone.,"Earth Wind & Fire (artist), David Foster (songwriter), Jay Graydon (songwriter), Bill Champlin (songwriter)",True
1980,Song of the Year,What A Fool Believes.,"The Doobie Brothers (artists), Kenny Loggins (songwriter), Michael McDonald (songwriter)",True
1981,Best Country Song,On The Road Again.,Willie Nelson (artist/songwriter),True
1981,Best Rhythm & Blues Song,Never Knew Love Like This Before.,"Stephanie Mills (artist), James Mtume (songwriter), Reggie Lucas (songwriter)",True
1981,Song of the Year,Sailing.,Christopher Cross (artist/songwriter),True
1982,Best Country Song,9 to 5,9 to 5,True
1982,Best Rhythm & Blues Song,Just The Two Of Us.,"Grover Washington Jr., William Salter (songwriter), Ralph MacDonald (songwriter), Bill Withers (songwriter/artist)",True
1982,Song of the Year,Bette Davis Eyes.,"Kim Carnes (artist), Donna Weiss (songwriter), Jackie DeShannon (songwriter)",True
1983,Best Country Song,Always On My Mind.,"Willie Nelson (artist), Wayne Carson (songwriter), Johnny Christopher (songwriter), Mark James (songwriter)",True
1983,Best Rhythm & Blues Song,Turn Your Love Around.,"Bill Champlin (songwriter), Jay Graydon (songwriter), Steve Lukather (songwriter), George Benson (artist)",True
1983,Song of the Year,Always On My Mind.,"Mark James (songwriter), Johnny Christopher (songwriter), Wayne Carson (songwriter), Willie Nelson (artist)",True
1984,Best New Country Song,Stranger In My House.,"Mike Reid (songwriter), Ronnie Milsap (artist)",True
1984,Best Rhythm & Blues Song,Billie Jean.,Michael Jackson (artist/songwriter),True
1984,Song of the Year,Every Breath You Take.,"The Police (artists), Sting (songwriter)",True
1985,Best Country Song,City Of New Orleans.,"Steve Goodman (songwriter), Willie Nelson (artist)",True
1985,Best Rhythm & Blues Song,I Feel For You.,"Prince (songwriter), Chaka Khan (artist)",True
1985,Song of the Year,What's Love Got To Do With It.,"Tina Turner (artist), Terry Britten (songwriter), Graham Lyle (songwriter)",True
1986,Best Country Song,The Highwayman,Jimmy Webb (songwriter),True
1986,Best Rhythm & Blues Song,Freeway Of Love.,"Aretha Franklin (artist), Jeffrey Cohen (songwriter), Narada Michael Walden (songwriter)",True
1986,Song of the Year,We Are the World (various artists).,"Lionel Richie (songwriter), Michael Jackson (songwriter)",True
1987,Best Country Song,Grandpa (Tell Me 'Bout the Good Ol' Days).,"Jamie O'Hara (songwriter), The Judds (artists)",True
1987,Best Rhythm & Blues Song,Sweet Love.,"Anita Baker (artist/songwriter), Gary Bias (songwriter), Louis A. Johnson (songwriter)",True
1987,Song of the Year,That's What Friends Are For.,"Stevie Wonder (artist), Gladys Knight (artist), Elton John (artist), Dionne Warwick (artist), Carole Bayer Sager (songwriter), Burt Bacharach (songwriter)",True
1988,Best Country Song,"Forever and Ever, Amen.","Randy Travis (artist), Paul Overstreet (songwriter), Don Schlitz (songwriter)",True
1988,Best Rhythm & Blues Song,Lean On Me.,"Club Nouveau (artist), Bill Withers (songwriter)",True
1988,Best Song Written Specifically for a Motion Picture or Television,Somewhere Out There.,"James Ingram (artist), Linda Ronstadt (artist), Barry Mann (songwriter), James Horner (songwriter), Cynthia Weil (songwriter)",True
1988,Best Song Written Specifically for a Motion Picture or for Television,Somewhere Out There.,An American Tail,True
1988,Best Song Written Specifically for a Motion Picture or for Television,Nothing's Gonna Stop Us Now.,Mannequin,False
1988,Best Song Written Specifically for a Motion Picture or for Television,Who's That Girl.,Who's That Girl,False
1988,Song of the Year,Somewhere Out There.,An American Tail,True
1988,Song of the Year,La Bamba.,La Bamba,False
1988,Song of the Year,Luka.,Suzanne Vega (songwriter and performer),False
1989,Best Country Song,Hold Me.,K.T. Oslin (songwriter),True
1989,Best Country Song,She's No Lady.,Lyle Lovett (artist),False
1989,Best Country Song,I Couldn't Leave You if I Tried.,Rodney Crowell (artist),False
1989,Best Rhythm & Blues Song,Giving You the Best That I Got,"Anita Baker (artist/songwriter), Randy Holland (songwriter), Skip Scarborough (songwriter)",True
1989,Best Rhythm & Blues Song,I'll Always Love You.,Jimmy George (artist),False
1989,Best Rhythm & Blues Song,Any Love.,"Luther Vandross (artist), Marcus Miller (artist)",False
1989,Best Song Written Specifically for a Motion Picture or Television,Two Hearts.,"Phil Collins (artist/songwriter), Lamont Dozier (songwriter)",True
1989,Best Song Written Specifically for a Motion Picture or Television,One Moment in Time (1988 Summer Olympic Album One Moment in Time).,Whitney Houston (artist),False
1989,Best Song Written Specifically for a Motion Picture or for Television,Two Hearts.,Buster,True
1989,Best Song Written Specifically for a Motion Picture or for Television,Century's End.,"Bright Lights, Big City",False
1989,Best Song Written Specifically for a Motion Picture or for Television,Cry Freedom.,Cry Freedom,False
1989,Song of the Year,"Don't Worry, Be Happy.",Bobby McFerrin (artist),True
1989,Song of the Year,Piano in the Dark.,"Brenda Russell, Jeff Hall, Scott Cutler",False
1989,Song of the Year,Fast Car.,Tracy Chapman,False
1990,Best Country Song,After All This Time,Rodney Crowell (songwriter),True
1990,Best Rhythm & Blues Song,If You Don't Know Me By Now,"Simply Red (artist), Leon Huff (songwriter), Kenny Gamble (songwriter)",True
1990,Best Song Written Specifically for a Motion Picture or Television,Let The River Run (From Working Girl),Carly Simon (songwriter),True
1990,Best Song Written Specifically for a Motion Picture or for Television,Let the River Run.,Working Girl,True
1990,Best Song Written Specifically for a Motion Picture or for Television,I Love To See You Smile.,Parenthood,False
1990,Best Song Written Specifically for a Motion Picture or for Television,Angel of Harlem.,U2: Rattle and Hum,False
1990,Song of the Year,Wind Beneath My Wings,"Bette Midler (artist), Larry Henley (songwriter), Jeff Silbar (songwriter)",True
1991,Best Country Song,Where've You Been,"Kathy Mattea (artist), Don Henry (songwriter), Jon Vezner (songwriter)",True
1991,Best Rhythm & Blues Song,U Can't Touch This,"M.C. Hammer (songwriter), Alonzo Miller (songwriter), Rick James (songwriter)",True
1991,Best Song Written Specifically for a Motion Picture or for Television,Under the Sea.,The Little Mermaid,True
1991,Best Song Written Specifically for a Motion Picture or for Television,Sooner or Later (I Always Get My Man).,Dick Tracy,False
1991,Best Song Written Specifically for a Motion Picture or for Television,Blaze of Glory.,Young Guns II,False
1991,Song of the Year,From A Distance,"Bette Midler (songwriter), Julie Gold (songwriter)",True
1991,Song of the Year,Vision Of Love.,Mariah Carey,False
1991,Song of the Year,Nothing Compares 2 U,Prince (artist),False
1991,Best R&B Song,Alright,"Janet Jackson, Jimmy Jam, Terry Lewis",False
1992,Best Country Song,Love Can Build A Bridge,"Paul Overstreet (songwriter), Naomi Judd (songwriter), John Jarvis (songwriter)",True
1992,Best Rhythm & Blues Song,Power Of Love/Love Power,"Marcus Miller (songwriter), Luther Vandross (songwriter), Teddy Vann (songwriter)",True
1992,Best Rock Song,Soul Cages,Sting (artist),True
1992,Best Song Written Specifically for a Motion Picture or for Television,(Everything I Do) I Do It For You.,Robin Hood: Prince of Thieves,True
1992,Best Song Written Specifically for a Motion Picture or for Television,Gotta Have You.,Jungle Fever,False
1992,Song of the Year,Unforgettable,"Natalie Cole (artist), Nat 'King' Cole (artist), Irving Gordon (songwriter)",True
1993,Best Country Song,"John Jarvis (songwriter), Vince Gill (artist/songwriter)",,True
1993,Best Rhythm & Blues Song,End Of The Road,"Boyz II Men (artist), Kenneth 'Babyface' Edmonds (songwriter), L.A. Reid (songwriter), Daryl Simmons (songwriter)",True
1993,Best Rock Song,Layla,"Eric Clapton (songwriter), Jim Gordon (songwriter)",True
1993,Best Song Written Specifically for a Motion Picture or for Television,Beauty and the Beast.,Beauty and the Beast,True
1993,Best Song Written Specifically for a Motion Picture or for Television,It's Probably Me.,Lethal Weapon 3,False
1993,Best Song Written Specifically for a Motion Picture or for Television,Tears in Heaven.,Rush,False
1993,Song of the Year,Tears in Heaven.,Rush,True
1993,Song of the Year,Acky Breaky Heart.,"Don Von Tress (songwriter), Billy Ray Cyrus (performer)",False
1993,Song of the Year,Constant Craving.,"k.d. lang (songwriter and performer), Ben Mink (performer)",False
1994,Best Country Song,Passionate Kisses,"Lucinda Williams (songwriter), Mary Chapin Carpenter (artist)",True
1994,Best R&B Song,That's the Way Love Goes,"Janet Jackson, Jimmy Jam, Terry Lewis",True
1994,Best Rhythm & Blues Song,That's The Way Love Goes,"Janet Jackson (songwriter), Jimmy Jam (songwriter), Terry Lewis (songwriter)",True
1994,Best Rock Song,Runaway Train,"David Pirner (songwriter), Soul Asylum (artist)",True
1994,Best Song Written Specifically for a Motion Picture or for Television,A Whole New World.,Aladdin,True
1994,Best Song Written Specifically for a Motion Picture or for Television,Run to You.,The Bodyguard,False
1994,Best Song Written Specifically for a Motion Picture or for Television,I Don't Wanna Fight.,What's Love Got to Do with It,False
1994,Song of the Year,A Whole New World (Aladdin's Theme).,Aladdin,True
1995,Best Country Song,I Swear,"Gary Baker (songwriter), Frank J. Myers (songwriter), John Michael Montgomery (artist)",True
1995,Best Rhythm & Blues Song,I'll Make Love To You,"Boyz II Men (artist), Kenneth 'Babyface' Edmonds (songwriter)",True
1995,Best Rock Song,Streets Of Philadelphia,Bruce Springsteen (songwriter),True
1995,Best Song Written Specifically for a Motion Picture or for Television,Streets of Philadelphia.,Philadelphia,True
1995,Best Song Written Specifically for a Motion Picture or for Television,Circle of Life.,The Lion King,False
1995,Best Song Written Specifically for a Motion Picture or for Television,I'll Remember.,With Honors,False
1995,Song of the Year,Streets Of Philadelphia,Bruce Springsteen (songwriter),True
1996,Best Country Song,Go Rest High On That Mountain,Vince Gill (songwriter),True
1996,Best Rhythm & Blues Song,For Your Love,Stevie Wonder (songwriter),True
1996,Best Rock Song,You Oughta Know,"Glen Ballard (songwriter), Alanis Morissette (songwriter)",True
1996,Best Song Written Specifically for a Motion Picture or for Television,Colors of the Wind.,Pocahontas,True
1996,Best Song Written Specifically for a Motion Picture or for Television,Love Me Still.,Clockers,False
1996,Best Song Written Specifically for a Motion Picture or for Television,Whatever You Imagine.,The Pagemaster,False
1996,Song of the Year,Kiss From a Rose,Seal (artist/songwriter),True
1997,Best Country Song,Blue,"LeAnn Rimes (artist), Bill Mack (songwriter)",True
1997,Best Rhythm & Blues Song,Exhale (Shoop Shoop),"Kenneth 'Babyface' Edmonds (songwriter), Whitney Houston (artist)",True
1997,Best Rock Song,For 'Give Me One Reason',Tracy Chapman,True
1997,Best Song Written Specifically for a Motion Picture or for Television,Because You Loved Me (Theme From Up Close & Personal),Up Close & Personal,True
1997,Best Song Written Specifically for a Motion Picture or for Television,It Hurts Like Hell.,Waiting to Exhale,False
1997,Best Song Written Specifically for a Motion Picture or for Television,Count On Me.,Waiting to Exhale,False
1997,Song of the Year,Change The World,"Wynonna Judd (artist), Eric Clapton (artist), Tommy Sims (songwriter), Wayne Kirkpatrick (songwriter), Gordon Kennedy (songwriter)",True
1998,Best Country Song,Butterfly Kisses,"Raybon Bros (artist), Jeff Carson (artist), Randy Thomas (songwriter), Bob Carlisle (songwriter)",True
1998,Best Rhythm & Blues Song,I Believe I Can Fly,R. Kelly (songwriter),True
1998,Best Rock Song,One Headlight,"The Wallflowers (artist), Jakob Dylan (songwriter)",True
1998,Best Song Written Specifically for a Motion Picture or for Television,I Believe I Can Fly.,Space Jam,True
1998,Best Song Written Specifically for a Motion Picture or for Television,Father Of Our Nation.,Mandela and de Klerk,False
1998,Best Song Written Specifically for a Motion Picture or for Television,A Song For Mama.,Soul Food,False
1998,Song of the Year,Sunny Came Home,"Shawn Colvin (songwriter), John Leventhal (songwriter)",True
1998,Best R&B Song,Honey.,Mariah Carey,False
1999,Best Country Song,You're Still The One,"Shania Twain (songwriter), Robert John Lange (songwriter)",True
1999,Best Rhythm & Blues Song,Doo Wop (That Thing),Lauryn Hill (songwriter),True
1999,Best Rock Song,Uninvited,Alanis Morissette (songwriter),True
1999,Best Song Written Specifically for a Motion Picture or for Television,My Heart Will Go On.,Titanic,True
