year,category,nominee,workers,winner
2012,Best Rap Song,All of the Lights.,"Jeff Bhasker (Songwriter), Really Doe (Songwriter), Kanye West (Songwriter), Malik Yusef (Songwriter)",True
2012,Best Rap Song,Otis.,"Jay-Z (Songwriter), Kanye West (Songwriter)",False
2012,Best Rap Song,Black & Yellow.,"Mikkel Storleer Eriksen (Songwriter), Tor Erik Hermansen (Songwriter), Wiz Khalifa (Songwriter)",False
2012,Best Rock Song,Walk.,Foo Fighters (Songwriters),True
2012,Best Rock Song,Down By the Water.,Colin Meloy (Songwriter),False
2012,Best Rock Song,Lotus Flower.,Radiohead (Songwriter),False
2012,Best Song Written Specifically for a Motion Picture or for Television,I See the Light,Tangled,True
2012,Best Song Written Specifically for a Motion Picture or for Television,Christmastime Is Killing Us,Family Guy,False
2012,Best Song Written Specifically for a Motion Picture or for Television,Born to Be Somebody,Justin Bieber: Never Say Never,False
2012,Best Song Written for Visual Media,I See The Light (From Tangled),"Alan Menken (songwriter), Glenn Slater (songwriter)",True
2012,Song of the Year,Rolling in the Deep.,"Adele (Songwriter), Paul Epworth (Songwriter)",True
2012,Song of the Year,Grenade.,"Brody Brown (Songwriter), Bruno Mars (Songwriter), Ari Levine (Songwriter), Philip Lawrence (Songwriter), Andrew Wyatt (Songwriter), Claude Kelly (Songwriter)",False
2012,Song of the Year,The Cave,"Ted Dwane (songwriter), Ben Lovett (songwriter), Marcus Mumford (songwriter), 'Country' Winston Marshall (songwriter)",False
2013,Best Contemporary Christian Music Song,"10,000 Reasons (Bless The Lord)","Jonas Myrin (songwriter), Matt Redman (songwriter)",True
2013,Best Country Song,Blown Away.,"Josh Kear, Chris Tompkins",True
2013,Best Gospel Song,Go Get It,"Erica Campbell (songwriter), Tina Campbell (songwriter), Warryn Campbell (songwriter)",True
2013,Best R&B Song,Adorn.,Miguel (Songwriter),True
2013,Best R&B Song,Heart Attack.,"Benny Blanco (Songwriter), Trey Songz (Songwriter), Rico Love (Songwriter)",False
2013,Best R&B Song,Beautiful Surprise.,"Tamia (Songwriter), Salaam Remi (Songwriter), Claude Kelly (Songwriter)",False
2013,Best Rap Song,Ni**as in Paris.,"Mike Dean (Songwriter), Hit-Boy (Songwriter), Jay-Z (Songwriter), Kanye West (Songwriter)",True
2013,Best Rap Song,"Young, Wild & Free.","Bruno Mars (Songwriter), Wiz Khalifa (Songwriter), Peter Hernandez (Songwriter), Snoop Dogg (Songwriter), Philip Lawrence (Songwriter), Brody Brown (Songwriter)",False
2013,Best Rap Song,Daughters.,"Nas (Songwriter), No I.D. (Songwriter)",False
2013,Best Rock Song,Lonely Boy.,"Dan Auerbach (Songwriter), Patrick J. Carney (Songwriter), Danger Mouse (Songwriter)",True
2013,Best Rock Song,Freedom At 21.,Jack White (Songwriter),False
2013,Best Rock Song,Madness.,Matthew Bellamy (Songwriter),False
2013,Best Song Written for Visual Media,Safe & Sound.,The Hunger Games,True
2013,Best Song Written for Visual Media,Let Me Be Your Star.,Smash,False
2013,Best Song Written for Visual Media,Man or Muppet.,The Muppets,False
2013,Song of the Year,We Are Young.,"Jack Antonoff (Songwriter), Jeff Bhasker (Songwriter), Andrew Dost (Songwriter), Nate Ruess (Songwriter)",True
2013,Song of the Year,The a Team.,Ed Sheeran (Songwriter),False
2013,Song of the Year,Adorn.,Miguel (Songwriter),False
2014,Best American Roots Song,Love Has Come For You.,"Edie Brickell (songwriter), Steve Martin (songwriter)",True
2014,Best Contemporary Christian Music Song,Overcomer,"Christopher Stevens (songwriter), David Garcia (songwriter), Ben Glover (songwriter)",True
2014,Best Country Song,Merry Go 'Round.,"Shane McAnally (Songwriter), Kacey Musgraves (Songwriter), Josh Osborne (Songwriter)",True
2014,Best Country Song,Being Again.,Taylor Swift (songwriter),False
2014,Best Gospel Song,If He Did It Before... Same God [Live],Tye Tribbett (songwriter),True
2014,Best R&B Song,Pusher Love Girl.,"James Fauntleroy (songwriter), Jerome Harmon (songwriter), Timbaland (songwriter), Justin Timberlake (songwriter)",True
2014,Best R&B Song,Only One.,PJ Morton,False
2014,Best Rap Song,Thrift Shop.,"Ryan Lewis (Songwriter), Macklemore (Songwriter)",True
2014,Best Rap Song,Started From the Bottom.,"Drake (songwriter), Noah Shebib (songwriter), Mike Zombie (songwriter)",False
2014,Best Rap Song,Holy Grail.,"Jay-Z (songwriter), The-Dream (songwriter), Jerome Harmon (songwriter), Timbaland (songwriter), Justin Timberlake (songwriter), No I.D. (songwriter)",False
2014,Best Rock Song,Cut Me Some Slack,"Dave Grohl (songwriter/artist), Paul McCartney (songwriter/artist), Krist Novoselic (songwriter/artist), Pat Smear (songwriter/artist)",True
2014,Best Song Written for Visual Media,Skyfall,Skyfall,True
2014,Best Song Written for Visual Media,We Both Know,Safe Haven,False
2014,Best Song Written for Visual Media,Young and Beautiful,The Great Gatsby,False
2014,Song of the Year,Royals.,"Joel Little (Songwriter), Lorde (Songwriter)",True
2014,Song of the Year,Just Give Me a Reason.,"Jeff Bhasker (Songwriter), Pink (Songwriter), Nate Ruess (Songwriter)",False
2014,Song of the Year,Locked Out of Heaven.,"Philip Lawrence (Songwriter), Ari Levine (Songwriter), Bruno Mars (Songwriter)",False
2015,Best American Roots Song,A Feather's Not a Bird.,Rosanne Cash,True
2015,Best Contemporary Christian Music Performance/Song,Messengers,"Luke Smallbone (songwriter), Joel Smallbone (songwriter), Joseph Prielozny (songwriter), Kenneth Chris (songwriter), Lecrae (artist/songwriter), For King & Country (artist), Torrance Esmond (songwriter), Ran Jackson (songwriter), Ricky Jackson (songwriter)",True
2015,Best Country Song,I'm Not Gonna Miss You.,"Glen Campbell (songwriter), Julian Raymond (songwriter)",True
2015,Best Country Song,Automatic.,"Nicolle Galyon (songwriter), Natalie Hemby (songwriter), Miranda Lambert (songwriter)",False
2015,Best Country Song,Meanwhile Back at Mama's.,"Tom Douglas (songwriter), Jaren Johnston (songwriter), Jeffrey Steele (songwriter)",False
2015,Best Gospel Performance/Song,No Greater Love,"Smokie Norful (songwriter/artist), Aaron Lindsey (songwriter)",True
2015,Best R&B Song,Drunk in Love.,"Jay-Z (songwriter), Rasool Diaz (songwriter), Noel Fisher (songwriter), Jerome Harmon (songwriter), Beyoncé (songwriter), Timbaland (songwriter), Dre Moon (songwriter), Brian Soko (songwriter)",True
2015,Best R&B Song,The Worst.,"Jhené Aiko (songwriter), Mac Robinson (songwriter), Brian Warfield (songwriter)",False
2015,Best R&B Song,"Flip Colson, Warren Oak Felder, Jameel Roberts, Terry Tru Sneed, and Andrew Pop Wansel. For the song Good Kisser.",Usher Raymond (songwriter),False
2015,Best Rap Song,i.,"Kendrick Lamar (Songwriter), Rahki (Songwriter)",True
2015,Best Rap Song,Anaconda.,"Ernest Clark (songwriter), Polow Da Don (songwriter), Nicki Minaj (songwriter), Marcos Palacios (songwriter), Jonathan Solone-Myvett (songwriter)",False
2015,Best Rap Song,We Dem Boyz.,"Noel Fisher (songwriter), Wiz Khalifa (songwriter)",False
2015,Best Rock Song,Ain't It Fun.,"Hayley Williams (Songwriter), Taylor York (Songwriter)",True
2015,Best Rock Song,Fever.,"Dan Auerbach (songwriter), Patrick J. Carney (songwriter), Danger Mouse (songwriter)",False
2015,Best Rock Song,Gimme Something Good.,Ryan Adams (songwriter),False
2015,Best Song Written for Visual Media,Let It Go.,Frozen,True
2015,Best Song Written for Visual Media,The Moon Song.,Her,False
2015,Best Song Written for Visual Media,Everything Is Awesome!!!.,The Lego Movie,False
2015,Song of the Year,Stay With Me (Darkchild version).,"Jimmy Napes (Songwriter), Sam Smith (Songwriter), Tourist (Songwriter)",True
2015,Song of the Year,Chandelier.,"Jesse Shatkin (songwriter), Sia (songwriter)",False
2015,Song of the Year,Shake It Off.,"Max Martin (songwriter), Shellback (songwriter), Taylor Swift (songwriter)",False
2016,Best American Roots Song,24 Frames,Jason Isbell (songwriter),True
2016,Best Contemporary Christian Music Performance/Song,Holy Spirit,Francesca Battistelli (artist),True
2016,Best Country Song,Girl Crush,"Little Big Town (artist), Liz Rose (songwriter), Lori McKenna (songwriter), Hillary Lindsey (songwriter)",True
2016,Best Gospel Performance/Song,Wanna Be Happy?,Kirk Franklin,True
2016,Best Gospel Performance/Song,Worth Fighting For (Live),Brian Courtney Wilson,False
2016,Best Gospel Performance/Song,Intentional,Travis Greene,False
2016,Best R&B Song,Really Love.,"D'Angelo (songwriter), Gina Figueroa (songwriter), Kendra Foster (songwriter)",True
2016,Best R&B Song,Let It Burn.,"Kenneth 'Babyface' Edmonds (songwriter), Jazmine Sullivan (songwriter)",False
2016,Best R&B Song,Shame.,"Warryn Campbell (songwriter), Tyrese Gibson (songwriter), D.J. Rogers Jr. (songwriter)",False
2016,Best Rap Song,Alright.,"Kendrick Lamar (songwriter), Kawan Prather (songwriter), Sounwave (songwriter), Pharrell Williams (songwriter)",True
2016,Best Rap Song,Trap Queen.,Fetty Wap (songwriter),False
2016,Best Rap Song,All Day.,"Tyler Bryant (songwriter), Sean 'Diddy' Combs (songwriter), Mike Dean (songwriter), Noah Goldstein (songwriter), Malik Yusef (songwriter), French Montana (songwriter), Kendrick Lamar (songwriter), Paul McCartney (songwriter), Vic Mensa (songwriter), Charles Njapa (songwriter), Che Pope (songwriter), Patrick 'Plain Pat' Reynolds (songwriter), Allen Ritter (songwriter), Kanye West (songwriter), Mario Winans (songwriter), CyHi the Prynce (songwriter)",False
2016,Best Rock Song,Don't Wanna Fight.,Alabama Shakes (songwriters),True
2016,Best Rock Song,Hold Back the River.,"Iain Archer (songwriter), James Bay (songwriter)",False
2016,Best Rock Song,Lydia.,"Rich Meyer (songwriter), Ryan Meyer (songwriter), Johnny Stevens (songwriter)",False
2016,Best Song Written for Visual Media,Glory.,Selma,True
2016,Best Song Written for Visual Media,Love Me Like You Do.,Fifty Shades of Grey,False
2016,Best Song Written for Visual Media,Til It Happens to You.,The Hunting Ground,False
2016,Song of the Year,Thinking Out Loud.,"Ed Sheeran (artist/songwriter), Amy Wadge (artist/songwriter)",True
2016,Song of the Year,Girl Crush.,"Little Big Town (artist), Hillary Lindsey (songwriter), Lori McKenna (songwriter), Liz Rose (songwriter)",False
2017,Best American Roots Song,Kid Sister,"Vince Gill (song writer), The Time Jumpers (artist)",True
2017,Best American Roots Song,Wreck You,"Lori McKenna (songwriter/artist), Felix McTeigue (songwriter)",False
2017,Best American Roots Song,Gulfstream,"The Hub City All-Stars (artist), Roddie Romero (song writer/artist), Eric Adcock (song writer)",False
2017,Best Contemporary Christian Music Performance/Song,Thy Will,"Emily Weisband (songwriter), Bernie Herms (songwriter), The Scott Family (artist), Hillary Scott (artist/songwriter)",True
2017,Best Contemporary Christian Music Performance/Song,King of the World,"Samuel Mizell (songwriter), Becca Mizell (songwriter), Natalie Grant (artist/songwriter)",False
2017,Best Contemporary Christian Music Performance/Song,Chain Breaker,"Zach Williams (songwriter), Jonathan Smith (songwriter), Mia Fieldes (artist/songwriter)",False
2017,Best Gospel Performance/Song,God Provides,"Tamela J. Mann (singer), Kirk Franklin (songwriter)",True
2017,Best Rap Song,Hotline Bling,"Drake (songwriter), Nineteen85 (songwriter)",True
2017,Best Rock Song,Blackstar (Posthumously),David Bowie (songwriter),True
2017,Best Rock Song,Burn the Witch,Radiohead (songwriters),False
2017,Best Rock Song,Heathens,Tyler Joseph (songwriter),False
2017,Best Song Written for Visual Media,Can't Stop the Feeling!,Trolls,True
2017,Best Song Written for Visual Media,The Veil.,Snowden,False
2017,Best Song Written for Visual Media,Heathens,Suicide Squad,False
2017,Song of the Year,Hello,"Adele, Greg Kurstin",True
2017,Song of the Year,Love Yourself,"Justin Bieber, Benny Blanco, Ed Sheeran",False
2017,Song of the Year,I Took a Pill in Ibiza,Mike Posner,False
2017,Best Country Song,My Church,Maren Morris,False
2017,Best R&B Song,Kiss It Better.,"Rihanna (songwriter), Jeff Bhasker (songwriter), Teddy Sinclair (songwriter)",False
2018,Best American Roots Song,If We Were Vampires,Jason Isbell (songwriter/artist),True
2018,Best American Roots Song,It Ain't Over Yet,"John Paul White (artist), Rosanne Cash (artist), Rodney Crowell (songwriter/artist)",False
2018,Best American Roots Song,I Wish You Well,"The Mavericks (artist), Alan Miller (songwriter), Raul Malo (songwriter)",False
2018,Best Contemporary Christian Music Performance/Song,What a Beautiful Name,"Brooke Ligertwood (songwriter), Ben Fielding (songwriter), Hillsong Worship (artist)",True
2018,Best Contemporary Christian Music Performance/Song,Clean,Natalie Grant (songwriter?artist),False
2018,Best Contemporary Christian Music Performance/Song,Even If,"Tim Timmons (songwriter), Crystal Lewis (songwriter), Ben Glover (songwriter), David Garcia (songwriter), MercyMe (songwriter/artist)",False
2018,Best Country Song,Broken Halos,"Chris Stapleton, Mike Henderson",True
2018,Best Country Song,Body Like a Back Road,"Josh Osborne (songwriter), Shane McAnally (songwriter), Sam Hunt (songwriter/artist), Zach Crowell (songwriter)",False
2018,Best Country Song,Better Man,Taylor Swift,False
2018,Best Gospel Performance/Song,Never Have to Be Alone,"Dwan Hill (songwriter), Dwan Hill (songwriter), CeCe Winans (artist)",True
2018,Best Gospel Performance/Song,Better Days,Leandria Johnson (artist),False
2018,Best Gospel Performance/Song,Too Hard Not To,"Warryn Campbell (songwriter), Tina Campbell (songwriter/artist)",False
2018,Best R&B Song,That's What I Like,"Jonathan Yip (songwriter), Ray Romulus (songwriter), Jeremy Reeves (songwriter), Ray Charles McCullough II (songwriter), Bruno Mars (songwriter/artist), Philip Lawrence (songwriter), James Fauntleroy (songwriter), Brody Brown (songwriter)",True
2018,Best R&B Song,Redbone,"Donald Glover (artist/producer/engineer/mixer), Ludwig Göransson (producer/engineer/mixer)",False
2018,Best R&B Song,First Began,PJ Morton (songwriter),False
2018,Best Rap Song,Humble,"Mike Will Made It (songwriter), Asheton Hogan (songwriter), Kendrick Lamar (songwriter/artist)",True
2018,Best Rap Song,The Story of O.J.,"No I.D. (artist), Jay-Z (song writer/artist)",False
2018,Best Rap Song,Sassy,"Wyann Vaughn (song writer), Rapsody (song writer/artist), E. Gabouerd (song writer), Jason Martin (song writer)",False
2018,Best Rock Song,Run,Foo Fighters,True
2018,Best Rock Song,Blood in the Cut,K.Flay,False
2018,Best Rock Song,Go to War,Nothing More,False
2018,Best Song Written for Visual Media,How Far I'll Go,Moana,True
2018,Best Song Written for Visual Media,City of Stars,La La Land,False
2018,Best Song Written for Visual Media,Stand Up for Something,Marshall,False
2018,Song of the Year,That's What I Like,"Bruno Mars (Artist/Songwriter), Brody Brown (Songwriter), James Fauntleroy (Songwriter), Philip Lawrence (Songwriter), Jeremy Reeves (Songwriter), Ray Romulus (Songwriter), Jonathan Yip (Songwriter), Ray Charles McCullough II (Songwriter)",True
2018,Song of the Year,Despacito,"Daddy Yankee (Artist/Songwriter), Luis Fonsi (Artist/Songwriter), Justin Bieber (Artist/Songwriter), Poo Bear (Songwriter), Erika Ender (Songwriter), Marty James Garton (Songwriter)",False
2018,Song of the Year,Issues,"Julia Michaels (Artist/Songwriter), Benny Blanco (Songwriter), Mikkel Storleer Eriksen (Songwriter), Tor Erik Hermansen (Songwriter), Justin Tranter (Songwriter)",False
2019,Best American Roots Song,The Joke,"Brandi Carlile (artist/songwriter), Dave Cobb (songwriter), Phil Hanseroth (songwriter), Tim Hanseroth (songwriter)",True
2019,Best American Roots Song,Knockin' on Your Screen Door,"Pat McLaughlin (songwriter), John Prine (songwriter/artist)",False
2019,Best American Roots Song,All the Trouble,"Waylon Payne (songwriter), Lee Ann Womack (songwriter), Adam Wright (songwriter/artist)",False
2019,Best Contemporary Christian Music Performance/Song,You Say,"Lauren Daigle, Jason Ingram, Paul Mabury",True
2019,Best Contemporary Christian Music Performance/Song,Joy,"For King & Country, Ben Glover, Matt Hales, Blake Kanicka, Joel Smallbone, Luke Smallbone, Tedd T, Seth Mosley",False
2019,Best Contemporary Christian Music Performance/Song,Known,"Tauren Wells, Jordan Sapp, Ethan Hulse",False
2019,Best Country Song,Space Cowboy (Kacey Musgraves),"Luke Laird, Shane McAnally, Kacey Musgraves",True
2019,Best Country Song,Break Up in the End (Cole Swindell),"Jessie Jo Dillon, Chase McGill, Jon Nite",False
2019,Best Country Song,I Lived It (Blake Shelton),"Rhett Akins, Ross Copperman, Ashley Gorley, Ben Hayslip",False
2019,Best Gospel Performance/Song,Never Alone,"Tori Kelly (artist), Kirk Franklin (artist/producer), Victoria Kelly (songwriter)",True
2019,Best R&B Song,Boo'd Up (Ella Mai),"Larrance Dopson, Joelle James, Ella Mai, DJ Mustard",True
2019,Best R&B Song,Feels Like Summer (Childish Gambino),"Donald Glover, Ludwig Göransson",False
2019,Best R&B Song,Long As I Live (Toni Braxton),"Toni Braxton, Antonio Dixon, Paul Boutin",False
2019,Best Rap Song,God's Plan (Drake),"Drake, Boi-1da, Noah Shebib, Daveon Jackson, Brock Korsan, Ronald LaTour",True
2019,Best Rap Song,Win (Jay Rock),"Jay Rock, Kendrick Lamar, Vinylz, Boi-1da, Cory Thompson",False
2019,Best Rap Song,"Sicko Mode (Travis Scott, Drake, (Big Hawk) & Swae Lee)","Swae Lee, Rogét Chahayed, Kevin Gomringer, Hit-Boy, Travis Scott, Ozan Yildirim, CyHi the Prynce, Drake, Tim Gomringer, Mirsad Dirvic, Mike Dean, Tay Keith",False
2019,Best Rock Song,Masseduction (St. Vincent),"Jack Antonoff, St. Vincent",True
2019,Best Rock Song,Black Smoke Rising (Greta Van Fleet),"Samuel Kiszka, Daniel Robert Wagner, Joshua Michael Kiszka, Jacob Thomas Kiszka",False
2019,Best Rock Song,Jumpsuit (Twenty One Pilots),Tyler Joseph,False
2019,Best Song Written for Visual Media,Shallow,A Star Is Born,True
2019,Best Song Written for Visual Media,Mystery of Love,Call Me by Your Name,False
2019,Best Song Written for Visual Media,This Is Me,The Greatest Showman,False
2019,Song of the Year,This is America (Childish Gambino),"Ludwig Göransson (songwriter), Young Thug (songwriter), Donald Glover (songwriter)",True
2019,Song of the Year,The Joke (Brandi Carlile),"Brandi Carlile (songwriter), Dave Cobb (songwriter), Phil Hanseroth (songwriter), Tim Hanseroth (songwriter)",False
2019,Song of the Year,Boo'd Up (Ella Mai),"Ella Mai (songwriter), Larrance Dopson (songwriter), Joelle James (songwriter), DJ Mustard (songwriter)",False
2019,Song of the Year,In My Blood (Shawn Mendes),"Shawn Mendes (songwriter), Teddy Geiger (songwriter), Scott Harris (songwriter), Geoff Warburton (songwriter)",False
